abilities sim: 116,287,920 round-sims in 40.6s

== calm ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
airbag      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     500  0.10 |   1.76 |   1.76→   1.76 |   5.00→   4.96 | -0.036±0.024
airbag    1000  0.10 |  16.44 |  16.44→  16.44 |   5.04→   4.61 | -0.435±0.084
airbag    1500  0.10 |  29.56 |  29.56→  29.56 |   2.65→   2.65 |  0.000±0.000
airbag    2000  0.10 |  39.47 |  39.47→  39.47 |  -1.44→  -1.44 |  0.000±0.000
airbag    3000  0.10 |  51.30 |  51.30→  51.30 | -11.81→ -11.81 |  0.000±0.000
airbag      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
airbag     500  0.20 |   2.86 |   2.86→   2.86 |   5.26→   4.91 | -0.350±0.189
airbag    1000  0.20 |  22.13 |  22.13→  22.13 |   7.57→   4.82 | -2.754±0.436
airbag    1500  0.20 |  39.47 |  39.47→  39.47 |   9.55→   4.77 | -4.776±0.463
airbag    2000  0.20 |  51.30 |  51.30→  51.30 |  10.04→   3.77 | -6.265±0.421
airbag    3000  0.20 |  63.19 |  63.19→  63.19 |   6.77→  -1.22 | -7.983±0.423
flipper     50  0.10 |  95.46 |   0.00→   0.00 |   5.00→   4.99 | -0.010±0.047
flipper    200  0.10 |  95.46 |   0.00→   0.01 |   5.00→   4.96 | -0.041±0.187
flipper    500  0.10 |  95.19 |   1.76→   2.02 |   5.00→   4.85 | -0.147±0.552
flipper   1000  0.10 |  92.31 |  16.44→  16.68 |   5.04→   4.28 | -0.763±2.400
flipper   1500  0.10 |  87.85 |  29.56→  30.12 |   2.65→   1.32 | -1.329±3.861
flipper   2000  0.10 |  83.49 |  39.47→  39.09 |  -1.44→  -3.39 | -1.956±5.595
flipper   3000  0.10 |  76.71 |  51.30→  50.89 | -11.81→ -13.87 | -2.063±8.645
flipper     50  0.20 |  95.46 |   0.00→   0.00 |   5.00→   4.99 | -0.010±0.047
flipper    200  0.20 |  95.46 |   0.00→   0.04 |   5.00→   4.96 | -0.036±0.186
flipper    500  0.20 |  95.02 |   2.86→   3.60 |   5.26→   5.28 |  0.026±0.562
flipper   1000  0.20 |  90.53 |  22.13→  22.40 |   7.57→   7.07 | -0.504±2.423
flipper   1500  0.20 |  83.49 |  39.47→  39.09 |   9.55→   7.99 | -1.557±4.334
flipper   2000  0.20 |  76.71 |  51.30→  50.89 |  10.04→   8.53 | -1.504±6.025
flipper   3000  0.20 |  66.44 |  63.19→  64.32 |   6.77→   6.80 |  0.029±7.984
flux15      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux15     200  0.10 |   0.52 |   0.00→   0.00 |   5.00→   4.98 | -0.016±0.020
flux15     500  0.10 |  11.81 |   1.76→   1.76 |   5.00→   4.91 | -0.087±0.260
flux15    1000  0.10 |  38.92 |  16.44→  16.01 |   5.04→   4.09 | -0.954±1.593
flux15    1500  0.10 |  49.39 |  29.56→  28.12 |   2.65→   1.01 | -1.649±2.673
flux15    2000  0.10 |  58.83 |  39.47→  37.05 |  -1.44→  -1.62 | -0.183±3.738
flux15    3000  0.10 |  55.18 |  51.30→  48.93 | -11.81→ -11.79 |  0.020±5.299
flux15      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux15     200  0.20 |   0.52 |   0.00→   0.00 |   5.00→   4.98 | -0.016±0.020
flux15     500  0.20 |  11.81 |   2.86→   2.86 |   5.26→   5.17 | -0.087±0.260
flux15    1000  0.20 |  38.67 |  22.13→  21.35 |   7.57→   6.51 | -1.061±1.608
flux15    1500  0.20 |  47.96 |  39.47→  37.64 |   9.55→   7.67 | -1.876±2.778
flux15    2000  0.20 |  55.18 |  51.30→  48.93 |  10.04→   9.30 | -0.736±3.754
flux15    3000  0.20 |  49.01 |  63.19→  60.78 |   6.77→   6.45 | -0.321±5.192
flux20      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     500  0.10 |   1.33 |   1.76→   1.76 |   5.00→   5.00 |  0.009±0.091
flux20    1000  0.10 |  11.52 |  16.44→  16.38 |   5.04→   4.91 | -0.132±0.493
flux20    1500  0.10 |  28.24 |  29.56→  29.07 |   2.65→   2.10 | -0.550±1.861
flux20    2000  0.10 |  36.94 |  39.47→  38.50 |  -1.44→  -2.91 | -1.477±2.853
flux20    3000  0.10 |  44.94 |  51.30→  49.37 | -11.81→ -13.54 | -1.736±5.022
flux20      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
flux20     500  0.20 |   1.33 |   2.86→   2.86 |   5.26→   5.27 |  0.009±0.091
flux20    1000  0.20 |  11.45 |  22.13→  22.08 |   7.57→   7.43 | -0.140±0.490
flux20    1500  0.20 |  27.48 |  39.47→  38.91 |   9.55→   9.03 | -0.521±1.857
flux20    2000  0.20 |  34.61 |  51.30→  50.07 |  10.04→   8.58 | -1.456±2.976
flux20    3000  0.20 |  39.60 |  63.19→  61.09 |   6.77→   4.58 | -2.188±5.054
heavy       50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
heavy      200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.000
heavy      500  0.10 |   0.00 |   1.76→   4.01 |   5.00→   5.10 |  0.109±0.294
heavy     1000  0.10 |   0.00 |  16.44→  25.28 |   5.04→   3.44 | -1.597±1.454
heavy     1500  0.10 |   0.00 |  29.56→  38.62 |   2.65→  -1.43 | -4.087±2.680
heavy     2000  0.10 |   0.00 |  39.47→  48.36 |  -1.44→  -6.62 | -5.181±3.884
heavy     3000  0.10 |   0.00 |  51.30→  59.11 | -11.81→ -18.35 | -6.540±5.810
heavy       50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
heavy      200  0.20 |   0.00 |   0.00→   0.01 |   5.00→   5.00 |  0.003±0.005
heavy      500  0.20 |   0.00 |   2.86→   6.37 |   5.26→   5.73 |  0.473±0.419
heavy     1000  0.20 |   0.00 |  22.13→  30.78 |   7.57→   6.51 | -1.057±1.617
heavy     1500  0.20 |   0.00 |  39.47→  48.36 |   9.55→   7.77 | -1.775±3.060
heavy     2000  0.20 |   0.00 |  51.30→  59.11 |  10.04→   8.15 | -1.886±4.081
heavy     3000  0.20 |   0.00 |  63.19→  69.42 |   6.77→   3.82 | -2.945±5.621
nitro       50  0.10 | 100.00 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.000
nitro      200  0.10 | 100.00 |   0.00→   0.21 |   5.00→   5.03 |  0.028±0.036
nitro      500  0.10 |  99.99 |   1.76→   6.42 |   5.00→   4.68 | -0.313±0.451
nitro     1000  0.10 |  99.96 |  16.44→  28.78 |   5.04→   2.70 | -2.344±1.703
nitro     1500  0.10 |  99.87 |  29.56→  42.41 |   2.65→  -2.70 | -5.354±2.349
nitro     2000  0.10 |  99.79 |  39.47→  48.53 |  -1.44→  -2.05 | -0.619±1.702
nitro     3000  0.10 |   0.00 |  51.30→  51.30 | -11.81→ -11.81 |  0.000±0.000
nitro       50  0.20 | 100.00 |   0.00→   0.00 |   5.00→   5.00 | -0.000±0.000
nitro      200  0.20 | 100.00 |   0.00→   0.33 |   5.00→   5.05 |  0.053±0.048
nitro      500  0.20 |  99.98 |   2.86→   9.91 |   5.26→   6.09 |  0.836±0.654
nitro     1000  0.20 |  99.92 |  22.13→  35.15 |   7.57→   7.25 | -0.322±1.859
nitro     1500  0.20 |  99.79 |  39.47→  51.40 |   9.55→   6.33 | -3.219±2.309
nitro     2000  0.20 |  99.34 |  51.30→  53.89 |  10.04→   4.33 | -5.707±1.234
nitro     3000  0.20 |   0.00 |  63.19→  63.19 |   6.77→   6.77 |  0.000±0.000
pinkBoth    50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkBoth   200  0.10 |   0.52 |   0.00→   0.00 |   5.00→   5.03 |  0.027±0.043
pinkBoth   500  0.10 |  12.73 |   1.76→   0.41 |   5.00→   5.37 |  0.376±0.714
pinkBoth  1000  0.10 |  47.93 |  16.44→   2.28 |   5.04→   5.27 |  0.227±2.131
pinkBoth  1500  0.10 |  70.61 |  29.56→   4.82 |   2.65→   4.29 |  1.631±3.319
pinkBoth  2000  0.10 |  84.48 |  39.47→   4.86 |  -1.44→   1.53 |  2.961±5.518
pinkBoth  3000  0.10 |  81.37 |  51.30→  13.40 | -11.81→  -4.72 |  7.084±8.943
pinkBoth    50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkBoth   200  0.20 |   0.52 |   0.00→   0.00 |   5.00→   5.03 |  0.027±0.043
pinkBoth   500  0.20 |  12.21 |   2.86→   0.94 |   5.26→   5.45 |  0.189±0.720
pinkBoth  1000  0.20 |  46.15 |  22.13→   4.06 |   7.57→   5.57 | -2.004±2.090
pinkBoth  1500  0.20 |  62.64 |  39.47→  12.78 |   9.55→   5.62 | -3.929±3.511
pinkBoth  2000  0.20 |  75.16 |  51.30→  14.17 |  10.04→   3.08 | -6.954±5.838
pinkBoth  3000  0.20 |  39.60 |  63.19→  55.18 |   6.77→   2.27 | -4.494±8.179
pinkSL      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
pinkSL     200  0.10 |   0.52 |   0.00→   0.00 |   5.00→   5.03 |  0.027±0.043
pinkSL     500  0.10 |  11.40 |   1.76→   0.41 |   5.00→   5.41 |  0.416±0.707
pinkSL    1000  0.10 |  37.05 |  16.44→   2.41 |   5.04→   6.02 |  0.979±1.785
